rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,graph,status
372,19-11-1999,The World is Not Enough,/movie/World-is-Not-Enough-The#tab=summary,135000000,126930660,361730660,35519007,PG-13,Action,3165,128,,PROFIT
373,06-02-2013,A Good Day to Die Hard,/movie/Die-Hard-5#tab=summary,92000000,67349198,304249198,24834845,R,Action,3555,98,,PROFIT
374,03-02-2022,Moonfall,/movie/Moonfall-(2022)#tab=summary,150000000,19060660,59049032,9868997,PG-13,Action,3446,124,,LOSS
375,11-07-2013,Pacific Rim,/movie/Pacific-Rim#tab=summary,190000000,101802906,411002906,37285325,PG-13,Action,3285,131,,PROFIT
376,14-12-2005,King Kong,/movie/King-Kong-(2005)#tab=summary,207000000,218080025,550517357,50130145,PG-13,Adventure,3627,189,,PROFIT
377,19-12-2018,Mary Poppins Returns,/movie/Mary-Poppins-Returns-(2018)#tab=summary,130000000,171958438,348901032,23523121,PG,Musical,4090,130,,PROFIT
378,29-06-2007,Ratatouille,/movie/Ratatouille#tab=summary,150000000,206445654,626549695,47027395,G,Adventure,3940,110,,PROFIT
379,23-05-2017,Pirates of the Caribbean: Dead Men Tell No Tales,/movie/Pirates-of-the-Caribbean-Dead-Men-Tell-No-Tales#tab=summary,230000000,172558876,794861794,62983253,PG-13,Adventure,4276,135,,PROFIT
380,16-07-2004,"I, Robot",/movie/I-Robot#tab=summary,105000000,144801023,348629585,52179887,PG-13,Action,3494,115,,PROFIT
381,05-06-2014,How to Train Your Dragon 2,/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary,145000000,177002924,614586270,49451322,PG,Adventure,4268,102,,PROFIT
382,06-12-2018,Aquaman,/movie/Aquaman-(2018)#tab=summary,160000000,335061807,1143758700,67873522,PG-13,Action,4184,143,,PROFIT
383,20-06-1997,Batman & Robin,/movie/Batman-and-Robin#tab=summary,125000000,107325195,238317814,42872605,PG-13,Action,2942,125,,PROFIT
384,27-06-2008,WALL-E,/movie/WALL-E#tab=summary,180000000,223808164,532508025,63087526,G,Adventure,3992,100,,PROFIT
385,03-10-2019,Gemini Man,/movie/Gemini-Man-(2019)#tab=summary,140000000,48546770,166623705,20552372,PG-13,Action,3642,116,,PROFIT
386,11-12-2012,The Hobbit: An Unexpected Journey,/movie/Hobbit-An-Unexpected-Journey-The#tab=summary,200000000,303003568,1014938545,84617303,PG-13,Adventure,4100,169,,PROFIT
387,23-05-2018,Solo: A Star Wars Story,/movie/Solo-A-Star-Wars-Story#tab=summary,275000000,213767512,393151347,84420489,PG-13,Adventure,4381,135,,PROFIT
388,02-07-2013,The Lone Ranger,/movie/Lone-Ranger-The#tab=summary,225000000,89302115,260002115,29210849,PG-13,Western,3904,149,,PROFIT
389,18-11-2015,The Hunger Games: Mockingjay - Part 2,/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary,160000000,281723902,648986787,102665981,PG-13,Thriller/Suspense,4175,136,,PROFIT
390,16-05-2008,The Chronicles of Narnia: Prince Caspian,/movie/Chronicles-of-Narnia-Prince-Caspian-The#tab=summary,225000000,141621490,417341288,55034805,PG,Adventure,3929,144,,PROFIT
391,11-07-2019,The Lion King,/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary,260000000,543638043,1647778651,191770759,PG,Adventure,4802,118,,PROFIT
392,23-03-2017,Ghost in the Shell,/movie/Ghost-in-the-Shell#tab=summary,110000000,40563557,167910690,18676033,PG-13,Action,3440,100,,PROFIT
393,26-08-2020,Tenet,/movie/Tenet-(2020)#tab=summary,205000000,58504105,362450957,20001852,PG-13,Action,2930,110,,PROFIT
394,27-06-2012,Ice Age: Continental Drift,/movie/Ice-Age-Continental-Drift#tab=summary,95000000,161321843,879765137,46629259,PG,Adventure,3886,87,,PROFIT
395,29-06-2011,Transformers: Dark of the Moon,/movie/Transformers-Dark-of-the-Moon-(2011)#tab=summary,195000000,352390543,1123794079,97852865,PG-13,Action,4107,154,,PROFIT
396,19-03-2015,Home,/movie/Home-(2015)#tab=summary,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,,PROFIT
397,03-05-2002,Spider-Man,/movie/Spider-Man#tab=summary,139000000,403706375,821706375,114844116,PG-13,Adventure,3876,121,,PROFIT
398,06-08-2010,The Other Guys,/movie/Other-Guys-The-(2010)#tab=summary,100000000,119219978,170936470,35543162,PG-13,Comedy,3651,97,,PROFIT
399,31-10-2018,The Nutcracker and the Four Realms,/movie/Nutcracker-and-the-Four-Realms-The-(2018)#tab=summary,132900000,54858851,170024300,20352491,PG,Adventure,3766,99,,PROFIT
400,25-05-2001,Pearl Harbor,/movie/Pearl-Harbor#tab=summary,151500000,198539855,449239853,59078912,PG-13,Action,3255,182,,PROFIT
401,24-06-2015,Terminator: Genisys,/movie/Terminator-Genisys#tab=summary,155000000,89760956,432150894,27018486,PG-13,Action,3783,126,,PROFIT
402,25-06-2014,Transformers: Age of Extinction,/movie/Transformers-Age-of-Extinction#tab=summary,210000000,245439076,1104054072,100038390,PG-13,Action,4233,165,,PROFIT
403,15-12-2000,The Emperor's New Groove,/movie/Emperors-New-Groove-The#tab=summary,100000000,89630573,169630573,9812302,G,Adventure,2887,78,,PROFIT
404,27-04-2001,Town & Country,/movie/Town-and-Country#tab=summary,105000000,6712451,10364769,3029858,R,Romantic Comedy,2222,NA,,
405,14-12-2007,I am Legend,/movie/I-am-Legend#tab=summary,150000000,256393010,585532684,77211321,PG-13,Horror,3648,100,,PROFIT
406,27-11-2002,Treasure Planet,/movie/Treasure-Planet#tab=summary,100000000,38120554,91800000,12083248,PG,Adventure,3227,95,,LOSS
407,27-03-2014,Noah,/movie/Noah#tab=summary,130000000,101200044,352831065,43720472,PG-13,Drama,3571,137,,PROFIT
408,09-04-2004,The Alamo,/movie/Alamo-The-(2004)#tab=summary,92000000,22406362,23911362,9124701,PG-13,Western,2609,137,,LOSS
409,28-05-2009,Up,/movie/Up#tab=summary,175000000,293004164,731463377,68108790,PG,Adventure,3886,89,,PROFIT
410,19-11-2004,National Treasure,/movie/National-Treasure#tab=summary,100000000,173005002,331323410,35142554,PG,Adventure,3243,130,,PROFIT
411,17-12-2004,Lemony Snicket's A Series of Unfortunate Events,/movie/Lemony-Snickets-A-Series-of-Unfortunate-Events#tab=summary,100000000,118627117,212956024,30061756,PG,Adventure,3623,107,,PROFIT
412,11-03-2011,Mars Needs Moms,/movie/Mars-Needs-Moms#tab=summary,150000000,21392758,39549758,6914488,PG,Adventure,3117,88,,LOSS
413,05-11-2003,The Matrix Revolutions,/movie/Matrix-Revolutions-The#tab=summary,150000000,139270910,427300260,48475154,R,Action,3502,129,,PROFIT
414,14-12-2021,Spider-Man: No Way Home,/movie/Spider-Man-No-Way-Home-(2021)#tab=summary,200000000,814108407,1912775610,260138569,PG-13,Action,4336,148,,PROFIT
415,15-05-2003,The Matrix Reloaded,/movie/Matrix-Reloaded-The#tab=summary,150000000,281553689,738576929,91774413,R,Action,3603,138,,PROFIT
